chunk_text,trial_id,condition,phase,status,enrollment,sponsor,interventions,start_year,completion_year
NCT Number: NCT05198154. Study Title: ctDNA Analysis to Monitor the Risk of Progression After First-line Immunotherapy in Patients With Advanced NSCLC. Sponsor: Fang Wu. Condition or Disease: Advanced Lung Non-Small Cell Carcinoma. Intervention or Drug or Treatment: DIAGNOSTIC_TEST: ctDNA detection. Phase: . Study Status: RECRUITING. Enrollment: 100.0. Summary: This study aims to explore the correlation of circulating tumor DNA(ctDNA) and the risk of progression in patients with advanced NSCLC who have long-term benefit from first-line immunotherapy (PFS 12 months). ,NCT05198154,Advanced Lung Non-Small Cell Carcinoma,,RECRUITING,100.0,Fang Wu,DIAGNOSTIC_TEST: ctDNA detection,2022,2025
"NCT Number: NCT06813365. Study Title: Assessing an Oral EGFR Inhibitor, DZD6008 in Patients Who Have Advanced NSCLC With EGFR Mutations (TIAN-SHAN2). Sponsor: Dizal Pharmaceuticals. Condition or Disease: Nonsmall-cell Lung Cancer. Intervention or Drug or Treatment: DRUG: DZD6008. Phase: PHASE1. Study Status: RECRUITING. Enrollment: 190.0. Summary: This study is designed to evaluate safety and antitumor activity of DZD6008 in patients with advanced NSCLC with EGFR mutations. This is the first time the drug is tested in human.. ",NCT06813365,Nonsmall-cell Lung Cancer,PHASE1,RECRUITING,190.0,Dizal Pharmaceuticals,DRUG: DZD6008,2024,2028
"NCT Number: NCT02172846. Study Title: Hypofractionated Proton Beam Radiation Therapy, Paclitaxel, and Carboplatin in Treating Patients With Stage II-III Non-Small Cell Lung Cancer. Sponsor: Washington University School of Medicine. Condition or Disease: Carcinoma, Non-Small-Cell Lung. Intervention or Drug or Treatment: RADIATION: Proton beam radiation therapy (PBT)|DRUG: Paclitaxel|DRUG: Carboplatin. Phase: PHASE1. Study Status: COMPLETED. Enrollment: 23.0. Summary: This phase I trial studies the side effects and best dose of hypofractionated proton beam radiation therapy when given together with paclitaxel and carboplatin in treating patients with stage II-III non-small cell lung cancer. Proton beam radiation therapy is a type of radiation therapy that uses streams of protons (tiny particles with a positive charge) to kill tumor cells. Giving proton beam radiation therapy at higher doses over fewer days (hypofractionation) may improve local control of the tumor. Giving hypofractionated proton beam radiation therapy with chemotherapy may be a better treatment for non-small cell lung cancer. ",NCT02172846,"Carcinoma, Non-Small-Cell Lung",PHASE1,COMPLETED,23.0,Washington University School of Medicine,RADIATION: Proton beam radiation therapy (PBT)|DRUG: Paclitaxel|DRUG: Carboplatin,2014,2017
NCT Number: NCT02443337. Study Title: A Study of LY3023414 and Necitumumab in Squamous Lung Cancer. Sponsor: Eli Lilly and Company. Condition or Disease: Non-small Cell Lung Cancer Metastatic. Intervention or Drug or Treatment: DRUG: LY3023414|DRUG: Necitumumab. Phase: PHASE2. Study Status: TERMINATED. Enrollment: 31.0. Summary: The main purpose of this study is to evaluate the safety and activity of the study drug known as LY3023414 in combination with necitumumab in participants with metastatic squamous non-small cell lung cancer (NSCLC).. ,NCT02443337,Non-small Cell Lung Cancer Metastatic,PHASE2,TERMINATED,31.0,Eli Lilly and Company,DRUG: LY3023414|DRUG: Necitumumab,2015,2017
"NCT Number: NCT02455843. Study Title: Microwave Plus Chemotherapy Versus Chemotherapy for Advanced NSCLC. Sponsor: Shandong Provincial Hospital. Condition or Disease: Non Small Cell Lung Cancer. Intervention or Drug or Treatment: OTHER: Microwave ablation. Phase: PHASE3. Study Status: UNKNOWN. Enrollment: 275.0. Summary: This study is a multicenter, randomized, open-label Phase III trial that compares microwave plus chemotherapy versus chemotherapy in patients with advanced non-small cell lung cancer. The primary endpoint is progression free survival (PFS) and the key secondary endpoint is overall survival (OS). A total of 275 eligible patients will be randomized to receive either microwave ablation combinated with first-line platinum-based doublet chemotherapy（138） or first-line platinum-based doublet chemotherapy（137） in a 1:1 ratio until patients. The response of microwave ablation will be assessed by the expert consensus for thermal ablation of primary and metastatic lung tumors. Tumor response and progression will be assessed according to Response Evaluation Criteria in Solid Tumors（RECIST）1.1.. ",NCT02455843,Non Small Cell Lung Cancer,PHASE3,UNKNOWN,275.0,Shandong Provincial Hospital,OTHER: Microwave ablation,2015,2018
"NCT Number: NCT02444819. Study Title: Phase II Trial to Evaluate the Efficacy and Safety of HM61713 as the 1st-line NSCLC Anticancer Therapy. Sponsor: Hanmi Pharmaceutical Company Limited. Condition or Disease: Non Small Cell Lung Cancer. Intervention or Drug or Treatment: DRUG: HM61713. Phase: PHASE2. Study Status: COMPLETED. Enrollment: 33.0. Summary: A multi-center, single-arm. Phase 2 exploratory trial to evaluate the efficacy and safety of HM61713 as the 1st-line anticancer agent in none-small cell lung cancer patients with EGFR mutation. ",NCT02444819,Non Small Cell Lung Cancer,PHASE2,COMPLETED,33.0,Hanmi Pharmaceutical Company Limited,DRUG: HM61713,2015,2017
"NCT Number: NCT04884269. Study Title: A Non Interventional Pilot Study on Machine Learning for ILD Detection Based on the Patient Data From Digital Devices in Unresectable Stage III Non-Small Cell Lung Cancer Patients Receiving Durvalumab. Sponsor: AstraZeneca. Condition or Disease: Carcinoma, Non-Small-Cell Lung. Intervention or Drug or Treatment: . Phase: . Study Status: COMPLETED. Enrollment: 144.0. Summary: Objective in this study is to investigate feasibility of developing machine-learning based model for the identification of future development of diagnosed Grade 2 and higher ILD and of disease progression in patients with unresectable Stage III NSCLC receiving durvalumab. ",NCT04884269,"Carcinoma, Non-Small-Cell Lung",,COMPLETED,144.0,AstraZeneca,,2021,2023
"NCT Number: NCT04676477. Study Title: HER3-DXd (Patritumab Deruxtecan; U3-1402) in Combination With Osimertinib in Subjects With Locally Advanced or Metastatic EGFR-mutated Non-Small Cell Lung Cancer. Sponsor: Daiichi Sankyo. Condition or Disease: Non-Small Cell Lung Cancer (NSCLC). Intervention or Drug or Treatment: DRUG: HER3-DXd|DRUG: HER3-DXd|DRUG: Osimertinib|DRUG: Osimertinib|DRUG: HER3-DXd|DRUG: HER3-DXd|DRUG: Osimertinib. Phase: PHASE1. Study Status: ACTIVE_NOT_RECRUITING. Enrollment: 246.0. Summary: This study includes a Dose Escalation Part to identify the recommended combination dose (RCD) and a Dose Expansion Part to further evaluate efficacy and safety. The primary objectives: Dose Escalation: To assess the safety and tolerability of HER3-DXd (patritumab deruxtecan; U3-1402) and osimertinib in subjects with locally advanced or metastatic non-small cell lung cancer (NSCLC) with an EGFR exon 19 deletion or L858R mutation with tumor progression after treatment with osimertinib, and to determine the recommended combination dose (RCD). Second-Line Dose Expansion Arm 1 and Arm 1b: To assess the preliminary antitumor activity of HER3-DXd and osimertinib in subjects with locally advanced or metastatic NSCLC with an EGFR exon 19 deletion or L858R mutation with tumor progression after treatment with osimertinib. Note: One or both of the study arms may open with one or two distinct dosing schedules. Second-Line Dose Expansion Arm 2: To assess the preliminary antitumor activity of HER3-DXd monotherapy in subjects with locally advanced or metastatic NSCLC with an EGFR exon 19 deletion or L858R mutation with tumor progression after treatment with osimertinib. First-Line Dose Expansion Cohorts 3, 4a, and 4b: To assess the preliminary antitumor activity of HER3-DXd and",NCT04676477,Non-Small Cell Lung Cancer (NSCLC),PHASE1,ACTIVE_NOT_RECRUITING,246.0,Daiichi Sankyo,DRUG: HER3-DXd|DRUG: HER3-DXd|DRUG: Osimertinib|DRUG: Osimertinib|DRUG: HER3-DXd|DRUG: HER3-DXd|DRUG: Osimertinib,2021,2027
"exon 19 deletion or L858R mutation with tumor progression after treatment with osimertinib. First-Line Dose Expansion Cohorts 3, 4a, and 4b: To assess the preliminary antitumor activity of HER3-DXd and osimertinib in subjects with locally advanced or metastatic NSCLC with an EGFR exon 19 deletion or L858R mutation without prior systemic treatment for locally advanced or metastatic disease..",NCT04676477,Non-Small Cell Lung Cancer (NSCLC),PHASE1,ACTIVE_NOT_RECRUITING,246.0,Daiichi Sankyo,DRUG: HER3-DXd|DRUG: HER3-DXd|DRUG: Osimertinib|DRUG: Osimertinib|DRUG: HER3-DXd|DRUG: HER3-DXd|DRUG: Osimertinib,2021,2027
NCT Number: NCT01773109. Study Title: Etirinotecan Pegol (NKTR-102) in NSCLC. Sponsor: Abramson Cancer Center at Penn Medicine. Condition or Disease: Metastatic Non Small Cell Lung Cancer|Recurrent Non Small Cell Lung Cancer. Intervention or Drug or Treatment: DRUG: Etirinotecan pegol (NKTR-102). Phase: PHASE2. Study Status: COMPLETED. Enrollment: 40.0. Summary: This Phase 2 study is designed to characterize the objective response rate (defined as complete response (CR) and partial response (PR)) of Etirinotecan pegol administered to subjects with metastatic and recurrent NSCLC after failure of 2nd line therapy. Up to 37 eligible subjects will receive the investigational drug q3 weeks until they are no longer benefiting.. ,NCT01773109,Metastatic Non Small Cell Lung Cancer|Recurrent Non Small Cell Lung Cancer,PHASE2,COMPLETED,40.0,Abramson Cancer Center at Penn Medicine,DRUG: Etirinotecan pegol (NKTR-102),2013,2017
"NCT Number: NCT00054314. Study Title: BAY 59-8862 in Treating Patients With Non-Small Cell Lung Cancer. Sponsor: Roswell Park Cancer Institute. Condition or Disease: Lung Cancer. Intervention or Drug or Treatment: DRUG: ortataxel. Phase: PHASE2. Study Status: COMPLETED. Enrollment: . Summary: RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die.
PURPOSE: Phase II trial to study the effectiveness of BAY 59-8862 in treating patients who have non-small cell lung cancer.. ",NCT00054314,Lung Cancer,PHASE2,COMPLETED,,Roswell Park Cancer Institute,DRUG: ortataxel,2002,
"NCT Number: NCT04398199. Study Title: Study of Hypofractionated Radiotherapy Alone in Locally Advanced Nonsmall Cell Lung Cancer Patients. Sponsor: Wake Forest University Health Sciences. Condition or Disease: Nonsmall Cell Lung Cancer, Stage II|Nonsmall Cell Lung Cancer Stage III. Intervention or Drug or Treatment: DRUG: Hypofractionated Radiation Therapy|RADIATION: Radiation Boost. Phase: PHASE2. Study Status: TERMINATED. Enrollment: 1.0. Summary: The purpose of this research study is to find out what effects (good or bad) may come from a new way of doing radiation therapy for lung cancer. This study is for patients who are not able to get surgery or chemotherapy with their radiation. The way of doing radiation therapy in this trial is called hypofractionated radiation therapy which is a standard approach, but this study allows the actual tumor to get an extra radiation dose while still protecting the organs that are near the tumor.. ",NCT04398199,"Nonsmall Cell Lung Cancer, Stage II|Nonsmall Cell Lung Cancer Stage III",PHASE2,TERMINATED,1.0,Wake Forest University Health Sciences,DRUG: Hypofractionated Radiation Therapy|RADIATION: Radiation Boost,2020,2020
"NCT Number: NCT00553800. Study Title: Study of Bevacizumab and Erlotinib in Patients With Advanced Non-small Cell Lung Cancer. Sponsor: Fox Chase Cancer Center. Condition or Disease: Carcinoma, Non-Small-Cell Lung. Intervention or Drug or Treatment: DRUG: bevacizumab|DRUG: Erlotinib. Phase: PHASE2. Study Status: COMPLETED. Enrollment: 32.0. Summary: This study will evaluate the combination of bevacizumab and erlotinib in elderly patients with advanced non-small cell lung cancer.. ",NCT00553800,"Carcinoma, Non-Small-Cell Lung",PHASE2,COMPLETED,32.0,Fox Chase Cancer Center,DRUG: bevacizumab|DRUG: Erlotinib,2007,2011
"NCT Number: NCT04342377. Study Title: The Canada Lymph Node Score Project: A Crossover Trial. Sponsor: St. Joseph's Healthcare Hamilton. Condition or Disease: Lung Cancer|Non Small Cell Lung Cancer|Non-small Cell Lung Cancer Stage I|Non-small Cell Lung Cancer Stage II. Intervention or Drug or Treatment: DIAGNOSTIC_TEST: Selective Targeted Sampling|DIAGNOSTIC_TEST: Systematic Sampling. Phase: PHASE3. Study Status: COMPLETED. Enrollment: 80.0. Summary: Before deciding on treatment for patients with lung cancer, a critical step in the investigation is finding out whether the lymph nodes in the chest contain cancer cells. This is accomplished with a biopsy of the lymph nodes through the airway wall, known as Endobronchial Ultrasound-guided Transbronchial Needle Aspiration. Guidelines require that every single lymph node in the chest be biopsied through a process called Systematic Sampling. However, emerging data suggests that the lymph nodes that appear benign on imaging and ultrasound do not need a biopsy. A proposed alternative to the inefficient Systematic Sampling is the simplified Selective Targeted Sampling of the lymph nodes, whereby only lymph nodes that look malignant are biopsied. This trial will evaluate the simplified Selective Targeted Sampling of lymph nodes and compare it to Systematic Sampling to see whether it is equally as effective in staging lung cancer.. ",NCT04342377,Lung Cancer|Non Small Cell Lung Cancer|Non-small Cell Lung Cancer Stage I|Non-small Cell Lung Cancer Stage II,PHASE3,COMPLETED,80.0,St. Joseph's Healthcare Hamilton,DIAGNOSTIC_TEST: Selective Targeted Sampling|DIAGNOSTIC_TEST: Systematic Sampling,2020,2022
"NCT Number: NCT01266512. Study Title: Concurrent Chemoradiotherapy Using Intensity Modulated Radiotherapy (IMRT) & Docetaxel-cisplatin (or Carboplatin) Followed by Adjuvant Chemotherapy for Inoperable Stage III Non-small-cell Lung Cancer. Sponsor: Sanofi. Condition or Disease: Lung Neoplasms. Intervention or Drug or Treatment: DRUG: DOCETAXEL|RADIATION: Intensity Modulated Radiotherapy (IMRT)|DRUG: CISPLATIN. Phase: PHASE2. Study Status: COMPLETED. Enrollment: 34.0. Summary: Primary Objective:
* Response rate (by contrast CT scan)
Secondary Objectives:
* Progression-free survival (PFS)
* Overall survival (OS). ",NCT01266512,Lung Neoplasms,PHASE2,COMPLETED,34.0,Sanofi,DRUG: DOCETAXEL|RADIATION: Intensity Modulated Radiotherapy (IMRT)|DRUG: CISPLATIN,2011,2014
"NCT Number: NCT00966914. Study Title: Phase 3 Study of Tavocept Versus Placebo in Patients With Newly Diagnosed or Relapsed Advanced Primary Adenocarcinoma of the Lung Treated With Docetaxel or Paclitaxel Plus Cisplatin. Sponsor: BioNumerik Pharmaceuticals, Inc.. Condition or Disease: Non-small Cell Lung Cancer. Intervention or Drug or Treatment: DRUG: Tavocept(BNP7787) in combination with cisplatin and either docetaxel or paclitaxel|DRUG: Placebo in combination with cisplatin and docetaxel or paclitaxel. Phase: PHASE3. Study Status: COMPLETED. Enrollment: 540.0. Summary: Tavocept is an investigational drug that is being developed to see if it can increase the survival of patients who are being treated with chemotherapy as well as to see if it can prevent or reduce side effects of chemotherapy. This research study is aimed at trying to find out if people with advanced adenocarcinoma of the lung who are treated with a standard combination of chemotherapy drugs will live longer if they are also treated with an investigational drug called ""Tavocept."" Another objective of this research study is to find out whether or not Tavocept helps to prevent or reduce side-effects like kidney damage, anemia, and nausea and vomiting that can occur with these drug combinations. The drug combinations that will be used in this research study will include either paclitaxel and cisplatin, or docetaxel and cisplatin. These drug combinations are approved to be used to treat people with advanced NSCLC. Every patient on this research study will be treated with standard chemotherapy for primary NSCLC in the form of either docetaxel or",NCT00966914,Non-small Cell Lung Cancer,PHASE3,COMPLETED,540.0,"BioNumerik Pharmaceuticals, Inc.",DRUG: Tavocept(BNP7787) in combination with cisplatin and either docetaxel or paclitaxel|DRUG: Placebo in combination with cisplatin and docetaxel or paclitaxel,2010,2013
"be used to treat people with advanced NSCLC. Every patient on this research study will be treated with standard chemotherapy for primary NSCLC in the form of either docetaxel or paclitaxel (these will be recommended by your research study doctor), which will be given in combination with cisplatin..",NCT00966914,Non-small Cell Lung Cancer,PHASE3,COMPLETED,540.0,"BioNumerik Pharmaceuticals, Inc.",DRUG: Tavocept(BNP7787) in combination with cisplatin and either docetaxel or paclitaxel|DRUG: Placebo in combination with cisplatin and docetaxel or paclitaxel,2010,2013
"NCT Number: NCT01160744. Study Title: A Study of Pemetrexed and Carboplatin/Cisplatin or Gemcitabine and Carboplatin/Cisplatin With or Without IMC-1121B in Participants Previously Untreated With Recurrent or Advanced Non-Small Cell Lung Cancer (NSCLC). Sponsor: Eli Lilly and Company. Condition or Disease: Carcinoma, Non-Small-Cell Lung. Intervention or Drug or Treatment: BIOLOGICAL: IMC-1121B (ramucirumab)|DRUG: Pemetrexed|DRUG: Carboplatin (AUC 6)|DRUG: Cisplatin|DRUG: Gemcitabine|DRUG: Carboplatin (AUC 5). Phase: PHASE2. Study Status: COMPLETED. Enrollment: 280.0. Summary: The purpose of this study is to determine if participants with Stage IV NSCLC have a better outcome when treated with IMC-1121B in combination with pemetrexed + carboplatin/cisplatin or gemcitabine + carboplatin/cisplatin than when treated with pemetrexed + carboplatin/cisplatin or gemcitabine + carboplatin/cisplatin alone.. ",NCT01160744,"Carcinoma, Non-Small-Cell Lung",PHASE2,COMPLETED,280.0,Eli Lilly and Company,BIOLOGICAL: IMC-1121B (ramucirumab)|DRUG: Pemetrexed|DRUG: Carboplatin (AUC 6)|DRUG: Cisplatin|DRUG: Gemcitabine|DRUG: Carboplatin (AUC 5),2010,2018
"NCT Number: NCT02827344. Study Title: PDL-1 Expression on Circulating Tumor Cells in Non-small Cell Lung Cancer. Sponsor: University Hospital, Toulouse. Condition or Disease: Lung Cancer. Intervention or Drug or Treatment: BIOLOGICAL: blood sample collection for CTC and MDSC analysis. Phase: . Study Status: COMPLETED. Enrollment: 216.0. Summary: Immunotherapy is probably, since the development of therapies targeting EGFR mutations or ALK rearrangement, the most attractive therapeutic perspective in the management of metastatic lung cancer. Among the compounds tested, the inhibitors of the immune checkpoint PROGRAMME DEATH 1 / PROGRAMME DEATH LIGAND 1 (PD-1/PD-L1) have been tested in numerous clinical trials with recently published positive results leading to the approval of one drug in the USA and an expanded access program for two drugs in France. PROGRAMME DEATH LIGAND 1 (PD-L1) expression by tumor cells is strongly associated with the response to such molecules so that the participation in various clinical trials is currently reserved for patients expressing this biomarker and therefore justifies a new invasive biopsy (bronchoscopic or CT-guided) representing a considerable drag on the access to these treatments. Circulating tumor cells (CTCs) isolated by Isolation by Size of Tumor Cells (ISET) offer a direct and non-invasive access to the tumor. It has already been demonstrated that molecular characterization (EGFR, ALK) on these blood samples is possible. We propose to demonstrate the feasibility of the analysis PDL-1 expression in these cells by immunocytochemistry. Myeloid-Derived Suppressor Cells (MDSCs) are immature myeloid cells that inhibit T cell functions and thus promote tumor growth.",NCT02827344,Lung Cancer,,COMPLETED,216.0,"University Hospital, Toulouse",BIOLOGICAL: blood sample collection for CTC and MDSC analysis,2015,2021
the feasibility of the analysis PDL-1 expression in these cells by immunocytochemistry. Myeloid-Derived Suppressor Cells (MDSCs) are immature myeloid cells that inhibit T cell functions and thus promote tumor growth. These cells frequently express PD-L1. We propose to test whether MDSCs level and its evolution during treatment with PD1 inhibitor is correlated to the response to these drugs. The main objective of this study is to demonstrate the feasibility of the analysis of PD-L1 expression on CTC.,NCT02827344,Lung Cancer,,COMPLETED,216.0,"University Hospital, Toulouse",BIOLOGICAL: blood sample collection for CTC and MDSC analysis,2015,2021
"NCT Number: NCT06678555. Study Title: A Study to Learn About Lorlatinib in Patients With Non-Small Cell Lung Cancer (NSCLC) Which Has Spread Out.. Sponsor: Pfizer. Condition or Disease: Carcinoma, Non-Small-Cell Lung. Intervention or Drug or Treatment: DRUG: Lorlatinib. Phase: . Study Status: ACTIVE_NOT_RECRUITING. Enrollment: 35.0. Summary: The purpose of this study is to learn about lorlatinib for the possible treatment of lung cancer which could not be controlled.
This study is seeking participants who:
* have lung cancer that could not be controlled.
* have a type of gene called a ROS proto-oncogene 1. A gene is a part of your DNA that has instructions for making things your body needs to work.
* have received at least 1 treatment before.
All participants in this study had received lorlatinib. Lorlatinib is a tablet that is taken by mouth at home. They continued to take lorlatinib until their cancer was no longer responding. The study will look at the experiences of people receiving the study medicine. This will help to see if the study medicine is safe and effective.. ",NCT06678555,"Carcinoma, Non-Small-Cell Lung",,ACTIVE_NOT_RECRUITING,35.0,Pfizer,DRUG: Lorlatinib,2025,2026
"NCT Number: NCT06667908. Study Title: A Study of JNJ-90301900 in Combination With Chemoradiation Followed by Consolidation Immunotherapy for Non-Small Cell Lung Cancer (NSCLC). Sponsor: Johnson & Johnson Enterprise Innovation Inc.. Condition or Disease: Carcinoma, Non-Small-Cell Lung. Intervention or Drug or Treatment: DRUG: JNJ-90301900|BIOLOGICAL: Durvalumab|RADIATION: Concurrent Chemo/Radiation Therapy (cCRT)|DRUG: Concurrent Chemo/Radiation Therapy (cCRT): Carboplatin|DRUG: Concurrent Chemo/Radiation Therapy (cCRT): Paclitaxel. Phase: PHASE2. Study Status: RECRUITING. Enrollment: 130.0. Summary: The purpose of this study is to determine whether JNJ-90301900 added to concurrent platinum-based doublet chemotherapy with radiation therapy (cCRT) followed by consolidation immunotherapy (cIT) can improve objective response rate (ORR; that is percentage of participants whose best response is complete response or partial response during the study) in participants with locally advanced and unresectable stage III non-small cell lung cancer.. ",NCT06667908,"Carcinoma, Non-Small-Cell Lung",PHASE2,RECRUITING,130.0,Johnson & Johnson Enterprise Innovation Inc.,DRUG: JNJ-90301900|BIOLOGICAL: Durvalumab|RADIATION: Concurrent Chemo/Radiation Therapy (cCRT)|DRUG: Concurrent Chemo/Radiation Therapy (cCRT): Carboplatin|DRUG: Concurrent Chemo/Radiation Therapy (cCRT): Paclitaxel,2024,2028
"NCT Number: NCT01469000. Study Title: A Study of Pemetrexed and Gefitinib Versus Gefitinib in Non-Small Cell Lung Cancer (NSCLC). Sponsor: Eli Lilly and Company. Condition or Disease: Carcinoma, Non Small Cell Lung. Intervention or Drug or Treatment: DRUG: Gefitinib|DRUG: Pemetrexed. Phase: PHASE2. Study Status: COMPLETED. Enrollment: 195.0. Summary: The purpose of this study is to compare the combination of pemetrexed and gefitinib versus gefitinib alone, in terms of progression-free survival. This study is in participants who have stage IV non squamous NSCLC with activating epidermal growth factor mutations and who have not had any previous chemotherapy for stage IV disease.. ",NCT01469000,"Carcinoma, Non Small Cell Lung",PHASE2,COMPLETED,195.0,Eli Lilly and Company,DRUG: Gefitinib|DRUG: Pemetrexed,2012,2017
"NCT Number: NCT02204059. Study Title: Biodistribution Study With 186 Re-labelled Humanised Monoclonal Antibody BIWA 4 in Patients With Non-small Cell Lung Cancer. Sponsor: Boehringer Ingelheim. Condition or Disease: Carcinoma, Non-Small-Cell Lung. Intervention or Drug or Treatment: DRUG: hMAb BIWA 4. Phase: PHASE1. Study Status: COMPLETED. Enrollment: 9.0. Summary: The primary objectives of this study is to assess the safety and tolerability of intravenously (i.v.) administered 186 Rhenium-isotope (186Re)-labelled bivatuzumab and to investigate the biodistribution and pharmacokinetics of 186 Re-labelled bivatuzumab in patients with non-small cell lung cancer (NSCLC). ",NCT02204059,"Carcinoma, Non-Small-Cell Lung",PHASE1,COMPLETED,9.0,Boehringer Ingelheim,DRUG: hMAb BIWA 4,1999,
"NCT Number: NCT03600701. Study Title: Atezolizumab and Cobimetinib in Treating Patients With Metastatic, Recurrent, or Refractory Non-small Cell Lung Cancer. Sponsor: National Cancer Institute (NCI). Condition or Disease: Metastatic Lung Non-Small Cell Carcinoma|Recurrent Lung Non-Small Cell Carcinoma|Refractory Lung Non-Small Cell Carcinoma|Stage IV Lung Cancer AJCC v8. Intervention or Drug or Treatment: DRUG: Atezolizumab|PROCEDURE: Biopsy Procedure|PROCEDURE: Biospecimen Collection|DRUG: Cobimetinib|PROCEDURE: Computed Tomography|PROCEDURE: Magnetic Resonance Imaging. Phase: PHASE2. Study Status: ACTIVE_NOT_RECRUITING. Enrollment: 51.0. Summary: This phase II trial studies how well atezolizumab and cobimetinib work in treating patients with non-small cell lung cancer that has spread from where it first started (primary site) to other places in the body (metastatic), has come back (recurrent), or does not respond to treatment (refractory). Immunotherapy with monoclonal antibodies, such as atezolizumab, may help the body's immune system attack the cancer, and may interfere with the ability of tumor cells to grow and spread. Cobimetinib is used in patients whose cancer has a mutated (changed) form of a gene called BRAF. It is in a class of medications called kinase inhibitors. It works by blocking the action of an abnormal protein that signals cancer cells to multiply. This helps slow or stop the spread of cancer cells. Giving atezolizumab and cobimetinib may work better in treating patients with non-small cell lung cancer.. ",NCT03600701,Metastatic Lung Non-Small Cell Carcinoma|Recurrent Lung Non-Small Cell Carcinoma|Refractory Lung Non-Small Cell Carcinoma|Stage IV Lung Cancer AJCC v8,PHASE2,ACTIVE_NOT_RECRUITING,51.0,National Cancer Institute (NCI),DRUG: Atezolizumab|PROCEDURE: Biopsy Procedure|PROCEDURE: Biospecimen Collection|DRUG: Cobimetinib|PROCEDURE: Computed Tomography|PROCEDURE: Magnetic Resonance Imaging,2018,2026
"NCT Number: NCT02231164. Study Title: LUME-Columbus: Nintedanib Plus Docetaxel in Advanced Non-small Cell Lung Cancer With Translational Research. Sponsor: Boehringer Ingelheim. Condition or Disease: Carcinoma, Non-Small-Cell Lung. Intervention or Drug or Treatment: DRUG: docetaxel|DRUG: docetaxel|DRUG: placebo|DRUG: nintedanib. Phase: PHASE3. Study Status: TERMINATED. Enrollment: 12.0. Summary: The present trial will investigate the efficacy and safety of nintedanib in combination with docetaxel as compared to placebo in combination with docetaxel in patients with stage IIIB/IV or recurrent NSCLC of adenocarcinoma histology after failure of first-line platinum-based chemotherapy.. ",NCT02231164,"Carcinoma, Non-Small-Cell Lung",PHASE3,TERMINATED,12.0,Boehringer Ingelheim,DRUG: docetaxel|DRUG: docetaxel|DRUG: placebo|DRUG: nintedanib,2014,2015
NCT Number: NCT04822298. Study Title: Study of AMG 160 in Subjects With Non-Small Cell Lung Cancer. Sponsor: Amgen. Condition or Disease: Non-small Cell Lung Cancer|NSCLC. Intervention or Drug or Treatment: DRUG: AMG 160. Phase: PHASE1. Study Status: TERMINATED. Enrollment: 3.0. Summary: This study aims to evaluate the safety and tolerability of AMG 160 and to evaluate the maximum tolerated dose (MTD) or the recommended phase 2 dose (RP2D).. ,NCT04822298,Non-small Cell Lung Cancer|NSCLC,PHASE1,TERMINATED,3.0,Amgen,DRUG: AMG 160,2021,2022
"NCT Number: NCT03991819. Study Title: Study of Binimetinib in Combination With Pembrolizumab in Advanced Non-Small Cell Lung Cancer. Sponsor: University Health Network, Toronto. Condition or Disease: Non-small Cell Carcinoma. Intervention or Drug or Treatment: DRUG: Binimetinib|DRUG: Pembrolizumab. Phase: PHASE1. Study Status: RECRUITING. Enrollment: 40.0. Summary: This is a Phase I/Ib study whose purpose is to find out if combining an experimental drug called binimetinib with pembrolizumab is beneficial in people who have advanced non-small cell lung cancer. This study may also see if the combination is safe and may also find the best dose of binimetinib that should be added to pembrolizumab.. ",NCT03991819,Non-small Cell Carcinoma,PHASE1,RECRUITING,40.0,"University Health Network, Toronto",DRUG: Binimetinib|DRUG: Pembrolizumab,2019,2026
"NCT Number: NCT00251589. Study Title: A Phase I/II Clinical Trial of Vorinostat in Combination With Erlotinib for Patients With Relapsed/Refractory Non-Small-Cell Lung Cancer (0683-025). Sponsor: Merck Sharp & Dohme LLC. Condition or Disease: Carcinoma, Non-Small-Cell Lung. Intervention or Drug or Treatment: DRUG: Vorinostat|DRUG: Vorinostat|DRUG: Vorinostat|DRUG: Vorinostat|DRUG: erlotinib. Phase: PHASE1|PHASE2. Study Status: TERMINATED. Enrollment: 23.0. Summary: The reason for this study will be to find the safest maximum tolerated dose of oral vorinostat in combination with erlotinib \[Tarceva (TM)\] that can be given to patients with lung cancer who have relapsed or failed other therapy for the disease. Once the safest maximum tolerated dose of vorinostat is determined, patients enrolled in the clinical trial will continue vorinostat and erlotinib for up to 8 months. Safety and effectiveness will also be evaluated.. ",NCT00251589,"Carcinoma, Non-Small-Cell Lung",PHASE1|PHASE2,TERMINATED,23.0,Merck Sharp & Dohme LLC,DRUG: Vorinostat|DRUG: Vorinostat|DRUG: Vorinostat|DRUG: Vorinostat|DRUG: erlotinib,2006,2007
